,Total Assets,Current Assets,Cash And Cash Equivalents,Cash Cash Equivalents And Short Term Investments,Inventory,Accounts Receivable,Other Current Assets,Total Non Current Assets,Gross PPE,Accumulated Depreciation,Net PPE,Investments And Advances,Other Non Current Assets,Total Liabilities,Current Liabilities,Accounts Payable,Current Debt,Current Deferred Liabilities,Total Non-Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Stockholders Equity,Common Stock,Retained Earnings,Other Equity Adjustments
2023-09-30,352583.0,143566.0,29965.0,61555.0,6331.0,29508.0,14695.0,209017.0,114599.0,-70884.0,43715.0,100544.0,46906.0,290437.0,145308.0,62611.0,15807.0,8061.0,145129.0,95281.0,34391.0,62146.0,73812.0,-214.0,-11452.0
2022-09-30,352755.0,135405.0,23646.0,48304.0,4946.0,28184.0,21223.0,217350.0,114457.0,-72340.0,42117.0,120805.0,39053.0,302083.0,153982.0,64115.0,21110.0,7912.0,148101.0,98959.0,32485.0,50672.0,64849.0,-3068.0,-11109.0
2021-09-30,351002.0,134836.0,34940.0,62639.0,6580.0,26278.0,14111.0,216166.0,109723.0,-70283.0,39440.0,127877.0,48849.0,287912.0,125481.0,54763.0,15613.0,7612.0,162431.0,109106.0,28636.0,63090.0,57365.0,5562.0,163.0
2020-09-30,323888.0,143713.0,38016.0,90943.0,4061.0,16120.0,11264.0,180175.0,103526.0,-66760.0,36766.0,100887.0,42522.0,258549.0,105392.0,42296.0,13769.0,6643.0,153157.0,98667.0,26320.0,65339.0,50779.0,14966.0,-406.0
2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
